COD_SEC,GR_SETOR,Seção,COD_DIV,Divisão,COD_GRUPO,Grupo,COD_CLASSE,Classe,COD_SUBC,COD_SUBCsp,Subclasse,Rotas,Rotas_Portal,SC Competitiva
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/01,119901,Cultivo de abacaxi,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/02,119902,Cultivo de alho,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/03,119903,Cultivo de batata-inglesa,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/04,119904,Cultivo de cebola,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/05,119905,Cultivo de feijão,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/06,119906,Cultivo de mandioca,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/07,119907,Cultivo de melão,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/08,119908,Cultivo de melancia,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/09,119909,Cultivo de tomate rasteiro,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/99,119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.02,Horticultura e floricultura,01.21-1,Horticultura,0121-1/01,121101,"Horticultura, exceto morango",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.02,Horticultura e floricultura,01.21-1,Horticultura,0121-1/02,121102,Cultivo de morango,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.02,Horticultura e floricultura,01.22-9,Cultivo de flores e plantas ornamentais,0122-9/00,122900,Cultivo de flores e plantas ornamentais,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.31-8,Cultivo de laranja,0131-8/00,131800,Cultivo de laranja,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.32-6,Cultivo de uva,0132-6/00,132600,Cultivo de uva,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/01,133401,Cultivo de açaí,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/02,133402,Cultivo de banana,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/03,133403,Cultivo de caju,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/04,133404,"Cultivo de cítricos, exceto laranja",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/05,133405,Cultivo de coco-da-baía,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/06,133406,Cultivo de guaraná,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/07,133407,Cultivo de maçã,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/08,133408,Cultivo de mamão,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/09,133409,Cultivo de maracujá,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/10,133410,Cultivo de manga,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/11,133411,Cultivo de pêssego,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/99,133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.34-2,Cultivo de café,0134-2/00,134200,Cultivo de café,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.35-1,Cultivo de cacau,0135-1/00,135100,Cultivo de cacau,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/01,139301,Cultivo de chá-da-índia,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/02,139302,Cultivo de erva-mate,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/03,139303,Cultivo de pimenta-do-reino,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/04,139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/05,139305,Cultivo de dendê,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/06,139306,Cultivo de seringueira,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.03,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/99,139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.04,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/01,141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.04,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/02,141502,Produção de sementes certificadas de forrageiras para formação de pasto,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.04,Produção de sementes e mudas certificadas,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas",0142-3/00,142300,"Produção de mudas e outras formas de propagação vegetal, certificadas",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.51-2,Criação de bovinos,0151-2/01,151201,Criação de bovinos para corte,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.51-2,Criação de bovinos,0151-2/02,151202,Criação de bovinos para leite,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.51-2,Criação de bovinos,0151-2/03,151203,"Criação de bovinos, exceto para corte e leite",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/01,152101,Criação de bufalinos,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/02,152102,Criação de eqüinos,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/03,152103,Criação de asininos e muares,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/01,153901,Criação de caprinos,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/02,153902,"Criação de ovinos, inclusive para produção de lã",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.54-7,Criação de suínos,0154-7/00,154700,Criação de suínos,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.55-5,Criação de aves,0155-5/01,155501,Criação de frangos para corte,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.55-5,Criação de aves,0155-5/02,155502,Produção de pintos de um dia,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.55-5,Criação de aves,0155-5/03,155503,"Criação de outros galináceos, exceto para corte",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.55-5,Criação de aves,0155-5/04,155504,"Criação de aves, exceto galináceos",AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.55-5,Criação de aves,0155-5/05,155505,Produção de ovos,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/01,159801,Apicultura,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.05,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/02,159802,Criação de animais de estimação,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
